MD5,SHA1,FileNames
"68c2ecee7bf4ff51576542222de1b088","ea11770f075d1f5c3592a964e3a56fa7bdb8cb2f","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[root]\System Volume Information\WPSettings.dat"
"ae4df03083b06bd2a64233c3b11cdf86","396eb47b868361386eadffeb91ca46411ec5032a","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[root]\System Volume Information\IndexerVolumeGuid"
"45c20b383708c627a574a8bab7063cad","a7e5a67663ef2fe7f05b28d521cfe0c67f7cd1eb","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[root]\ransomware_ver3.py"
"ca2457dfa3cf091c37ad3a672ac5949a","1b22bffdcc8a39d1f4a396bd1648171fae7c6f2e","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[root]\Ransomware_Report\Project Report_on_Ransomware_by_SKDeepak_18704.pdf"
"35914a623940a0fd9a43901d9d4ee6ef","f290de6a66ab6038314d36d0d9e83a8d3f9efcf8","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[root]\Ransomware_Report\Project Report_RW_Final.doc"
"1351d80e6fb477acaf4b60ece42846d7","8302db30a984f3264170e3619012d2e0ca81db22","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\VBR"
"b4202f7fe985b9648b4676e6f70832bd","d37c2b3927946ed617455b3c5913fcab0bc1af52","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\reserved sectors"
"8f84d066c8aa0adf96d0f336d87b88be","ae4abe449c3a6eeabad91207ec77b20e5031df53","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\00475"
"656cdd08dc368f009ee654632dfcc8d2","b3c02859788b8e44c7caeeac8757a6dc079fd8ba","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\06875"
"759e9b24e93e5a873b9cb8758d121a9f","908309420bc928b79212cb3e403597ed6aaf884f","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\13275"
"5a17855f94d2d8fb157236a0817d40e0","4a4b1b44330ed535189b78d1f717655dfb575df6","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\19675"
"f9a1ff0f43b18644549c6ea55428c011","ecb502b92af29a2c2becb906da5ef60608f03352","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\26075"
"0403b0d9cedd7bde62707f791f5ca9b3","809b255f82055fe623288e516c5e5fa1cedfcc89","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\32475"
"73401d0edd6659f165c204251cb5bcd4","8c5c046ba357629fc5c03a60c52b1344b90c8b8d","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\38875"
"72d1ab52ee5ad76601bf6db7f65350bf","0d28e6200f63c3a744ded371520e8b52b6282e49","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\45275"
"888d2ce4f6994317bc0c0d8eb74ab39c","a3d8ac6aed03c10d21741e45690b60ae9e675b1b","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\51675"
"634692e8a88adb538d823bad327ec05e","2afca4a497c7461d2445ad56a593671464e6a20d","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\[unallocated space]\58075"
"22710058cd42bc8b2e2237b759aefebc","7fe27b6d7afcdd606c6d13f852d996de9bfe853b","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\file system slack"
"065dfb90c2a76b6ffda51471738de4b4","b8b589e8a75c4cc32df4c6cd3ee6f4ec330fe767","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\FAT1"
"065dfb90c2a76b6ffda51471738de4b4","b8b589e8a75c4cc32df4c6cd3ee6f4ec330fe767","CASE_C001_PD01.Ex01\Partition 1 [991MB]\SKADY [FAT16]\FAT2"
